abandon,v. 遺棄
chocolate,n.巧克力
choice,n./adj.選擇
choir,n.合唱隊
choke,v./n.窒息；阻塞
cholesterol,n.膽固醇
choose,v.選擇
chop,v./n.劈；肋排肉
chopstick(s),n.筷子
chorus,n.合唱隊
Christianity,n.基督教
chronic,adj.慢性的
chunk,n.厚塊
church,n.教堂
churchyard,n.教堂的庭院(墓地)
cigar,n.雪茄
cigarette,n.香煙；煙捲
circle,n./v.循環；畫圓圈
circulate,v.循環；流通
circulation,n.循環；流通；貨幣
circumstance,n.情況；詳情
circus,n.馬戲團
citizen,n.公民；市民
citizenship,n.公民身分(權利)
city,n.城市
civics,n.公民科
civilian,n.平民；文職人員
civilization,n.文明
civilize,v.使開化
claim,n./v.要求；聲稱
clarify,v.澄清
clash,n./v.衝突；發出鏗鏘聲
class,n./v.階級；班級
classic,adj./n.經典的；名著
classical,adj.極好的；古典的
classification,n.分類
classmate,n.同班同學
classroom,n.教室
clause,n.子句；條款
claw,n.爪子；鉗；贅
clay,n.黏土；泥土
clean,adj./adv./v.乾淨的
cleaner,n.清潔工(劑)
cleaning,n.掃除
cleanse,v.使清潔
clear,adj./v.清楚的
clergyman,n.神職人員；牧師
clerk,n.店員
clever,adj.伶俐的；機敏的
click,v.使發出聲
client,n.客戶
cliff,n.懸崖
climate,n.氣候；風氣
climax,n.高潮
climb,v.攀爬
clinic,n.診所
clip,v.修剪；夾住
clock,n.時鐘
clockwise,adj.順時針方向的
clockwork,n.發條裝置
close,adj./adv.接近的
close,v.關上；結束
closet,n.壁櫥；衣櫥
closure,n.關閉
cloth,n.布料；衣料
clothe,v.為…穿衣
clothes,n.衣服
clothing,n.衣服；覆蓋物
cloud,n./v.雲；遮蔽
cloudy,adj.多雲的
clown,n.小丑
club,n./v.俱樂部；募集
clue,n.線索
clumsy,adj.笨拙的
cluster,n.群
clutch,n.離合器；緊握
coach,n./v.教練員；公車
coal,n.煤礦；煤塊
coalition,n.聯合
coarse,adj.粗糙的
coast,n.海岸；沿海地區
coastguard,n.海岸巡邏隊
coastline,n.海岸線
coat,n./v.外套；覆蓋
cocaine,n.古柯鹼
cock,n.公雞
cockpit,n.駕駛艙；鬥雞場
cockroach,n.蟑蚣卜；油蟲
cocktail,n.雞尾酒
coconut,n.椰子
code,n./v.密碼；法典
coed,adj.男女合校的
coeducation,n.男女合校的教育
coexist,v.同時共存
coffee,n.咖啡
coffin,n.棺材
coin,n.硬幣
coincidence,n.巧合
coke,n.可口可樂
cola,n.可樂類飲料
collaborate,v.合作
collapse,v./n.崩塌
collar,n.衣領；項圈
colleague,n.同事
collection,n.收藏品；收集
collector,n.收藏者
college,n.大學；學院
collision,n.衝突
colonial,adj.殖民地的
colony,n.殖民地
color,n./v.顏色；彩色
color-blind,adj.色盲的
colorful,adj.多采多姿的
column,n.欄；圓柱
columnist,n.專欄作家
comb,n./v.梳子；梳頭
combination,n.聯合(體)
combine,v.結合
come,v.來到；甦醒
comedian,n.丑角式人物
comedy,n.喜劇
comet,n.彗星
comfortably,adv.舒適地
comforting,adj.舒適的
comic,adj.滑稽的
coming,n.到來
command,n./v.命令；控制
commander,n.指揮者
commemorate,v.為慶祝
commend,v.稱讚
comment,n./v.評論
commentary,n.評述
commentator,n.評論家
commerce,n商業；交易
commercial,adj./n.商業的
commission,n./v.佣金；委託
commit,v.犯(罪)；把…託交給…
commitment,n.承諾
committee,n.委員會
commodity,n.商品
common,adj./n.一般的
commonplace,adj.平凡的
communal,adj.公共的
