abandon,v. 遺棄
mock,v.愚弄；嘲弄
model,n.模型；模範
moderate,adj.中等的
modem,adj.現代的
modernization,n.現代化
modernize,v.使現代化
modest,adj.謙虛的
modesty,n.謹慎；謙遜
moist,adj. 潮溼的
moisture,n.溼氣；水份
molecule,n.分子
moment,n.片刻
momentary,adj.短暫的
momentum,n.動量；動向
Monday,n.星期一
monetary,adj.貨幣的
money,n.錢
monitor,n./v.監視器；監控
monitor,n.級長
monk,n.僧侶；修道士
monkey,n.猴子
monopoly,n.壟斷；專利
monotony,n.單調
monster,n.怪物
monstrous,adj.怪物的；恐怖的
month,n.月
monthly,adj.每月一次的
monument,n.紀念碑；紀念館
mood,n.情緒
moon,n.月亮
mop,n./v.拖把
moral,adj.道德上的
morale,n.士氣
more,adj./adv.更多的
moreover,adv.並且；此外
morning,n.早晨
mortal,adj.必死的
mortar,n.灰泥
mosquito,n.蚊
most,adj./adv.最大程度地
mostly,adv.大部分
motel,n汽車旅館
mother/mom,n.母親；媽媽
motherhood,n.母性
motif,n.主旨
motion,n.運動；動機
motivate,v.給與動機
motivation,n.動機
motor,n.馬達；原動力
motorcycle,n.機車
motto,n.箴言；座右銘
mountain,n.山
mountainous,adj.多山的
mourn,v.悲悼
mouse,n.鼠；滑鼠
mouth,n.嘴；口
movable,adj.可動的
move(ment),v.(n.)使移動；使感動
movie,n.電影
Mrs.,n.太太
much,adj./adv./n.許多的
mud,n.泥
muddy,adj.泥的；骯髒的
multiple,adj.多重的
murder,n./v.謀殺
murderer,n.兇手
murmur,n./V.私語
muscle,n.肌肉
muscular,adj.肌肉的
muse,n.繆思女神；詩興
museum,n.博物館
mushroom,n./v.香茹；蘑蘋狀的束西
music,n.音樂
musical,adj./n.音樂的
musician,n.音樂家
mustache,n.鬚
mustard,n.芥末
mute,adj.沉默的
mutton,n.羊肉
mutual,adj.相互的
mysterious,adj.神祕的
mystery,n.神祕的事物
mythology,n.神話學
nag,v.不斷地挑剔
nail,n./v.釘子；指甲
naive,adj. 天真的；樸素的
naked,adj. 裸體的
name,n./v.名字
nap,n./v.打盹
napkin,n.餐巾
narrate,v.敘述
narrative,n.故事
narrow,adj./v.狹窄的；限制
nation,n.國家；民族
national,adj.國家的
nationality,n.國籍
native,adj./n.本國的
natural,adj.自然的
naturally,adv.自然地
nature,n.自然
naughty,adj.頑皮的
navy,n.海軍
nearby,adj./adv.附近的
nearly,adv.幾乎
nearsighted,adj.近視的
neat,adj.整潔的
necessary,adj.必需的
necessity,n.必需；必需品
neck,n.頸；脖子
necklace,n.項鍊
necktie,n.領帶；領結
need,v./n.需要
needle,n.針
needy,adj.非常貧窮的
negative,adj./n.否定的
neglect,v.忽視
negligible,adj.不重要的
negotiable,adj.可協商的
negotiate,v.談判
neighbor,n.鄰居
neighborhood,n.鄰近地區
neither,adj./adv./pron./conj. 兩者都不
nephew,n.姪兒；外甥
nerve,n.神經
nervous,adj.緊張的
nest,n./v.築巢
net,n./v.網；用網捕
never,adv.永不
nevertheless,adv.仍然；不過
new,adj.新的
newcomer,n.新來者
newlywed,n.新婚的人
news,n.新聞
newscaster,n.新聞播報員
newspaper,n.報紙
nice,adj.好的
nickel,n.鎳
nickname,n.綽號
niece,n.姪女；外甥女
night,n.夜
nightingale,n.夜鶯
nightmare,n.惡夢
nine,adj./n.九個
nineteen,adj./n.十九
ninety,adj./n.九十
nitrogen,n.氮
nobility,n.高貴；高尚
noble,adj.高貴的；貴族的
nod,n./v.點頭；打瞌睡
noise,n.噪音
noisy,adj.吵鬧的
nominal,adj.名義上的；不重要或無價值的
nominate,v.提名某人；指派
nomination,n.提名；任命
nominee,n.被提名人
none,pron./adv.一點兒也沒
nonetheless,adv./conj.但是；仍然
nonsense,n.胡說
noodle,n.麵條
noodle,n.笨人；傻瓜
noon,n.中午
nor,conj.也不
normal,adj.正常的
north,adj./adv/n.北方
northern,adj.北方的
nose,n.鼻；嗅覺
notable,adj.顯著的
notably,adv.顯著地；尤其
note,n./v.筆記；注意
noteworthy,adj.值得注意的
notice,n/v.公告；注意；通知
noticeable,adj.顯明的
notify,v.通知
notorious,adj.惡名昭彰的
noun,n.名詞
nourish(ment),v.(n〕滋養
novel,adj.新奇的
novel,n.長篇小說
novelist,n.小說家
novelty,n.新鮮；新奇
November,n.＋一月
now,nJadv.現在
nowadays,adj.現在；今日
nuclear,adj.核子的
nucleus,n.中心；核心
nude,adj.裸體的
nuisance,n.討厭的事物、人、行為等
number,n./v.數字；給…號碼
numerical,adj.數字的；表示數量
numerous,adj.許多的
nun,n.修女；尼姑
nurse,n.護士
nursery,n.育嬰室
nurture,n.養育；教養
nut,n.堅果；瘋子
nutrition,n.營養；營養學
oak,n.橡樹
oasis,n.綠洲
oath,n.誓約；詛咒
obedient,adj.順從的；孝順的
obey,v.服從；聽從
obituary,n.訃聞
object,n.物體；目標
object,v.反對
objection,n.反對
objective,adj.客觀的
oblong,n./adj.長方形；長方形的
obscure,adj./n.使暗；使不明顯；暗的；不明顯的
observant,adj.善於觀察的
observation,n.觀察
observatory,n.天文臺；氣象臺
observe,v.觀察
obsession,n.成見；頑念
obstacle,n.障礙
obtain,v.得到
obvious,adj.明顯的
obviously,adv.明顯地
occasion,n.場合
occasional,adj.偶爾的
occupation,n.職業；占用
occupy,v.占領
occur,v.發生
ocean,n.海洋
o'clock,n.點鐘
October,n.十月
odd,adj.奇特的；奇數的
odds,n.可能的機會
offend,v.冒犯；觸怒
offense,n.罪過；冒犯
offensive,adj.使人不愉快
offer,n/v.提議；提供
office,n.辦公室
officer,n.軍官；官員
official,adj./n.官方的；官員
offspring,n.後代；後裔
often,adv.時常
oil,n.油；石油
ointment,n.藥膏
old,adj.老的；舊的
omen,n.微兆；預兆
ominous,adj.惡兆的；不祥的
once,prep./adv./conj./n. 曾經；一旦
one,adj./n.一
onset,n.進攻；有力的開始
operational,adj.操作的；管理的
opponent,n.對手
oppress,v.壓迫；壓制
optical,adj.視覺的
optimism,n.樂觀；樂天
optimistic,adj.樂觀的；有信心的
option,n.選擇權；選擇力
optional,adj.可選擇的；隨意的
ordering,n.安排；佈置
ordinance,n.法令；條例
ordinarily,adj.正常地；普通地
organization,n.組織；團體
organize,v.組織
orient,v.使朝向東方
oriental,n./adj.東方人；東方的
origin,n.起源；由來
original,adj./n.最初的；原著
originality,n.創新；創造力
ornament,n.裝飾
orphan,n.孤兒
orphanage,n.孤兒院
orthodox,adj.正統的；傳統的
other,adj./n./prop. 另一個的；另一方
otherwise,adv.除此之外
oust,v.驅逐
out,prep/adv.在外
outbreak,v.爆發；發生
outcome,n.結果
outdoor,adj.戶外的
outdoors,adv.在戶外
outfit,n.裝備；用具
outing,n.遠足
outlaw,n.罪犯
outlet,n.出口；出路
outline,n./v.輪廓；綱要
outnumber,v.比·多
out-of-date,adj.過時的
outrage,n.暴行
outrageous,adj.駭人的；暴虐的
outset,n.開始
outside,prep./adj./adv./n. 在外面；外部的
outskirts,n.邊界；市郊
outstanding,adj.傑出的
outward,adj.外面的；肉體的
oven,n.烤箱
over,prep./adv.在…之上
overcoat,n.外套大衣
overcome,v.克服
overdo,v.做太多或過份
overeat,v.暴食
overhear,v.偷聽；無意中聽到
overlap,v.部分重疊；部分相同
overlook,v.俯視
overnight,ad v.在昨夜
overseas,adj./ad v.來自海外的
overtake,v.追上
overthrow,v.打翻
overturn,v.使傾覆；推翻
overwhelm,v.壓倒；淹沒
overwork,v.操勞過度
owe,v.虧欠
owl,n.貓頭鷹
own,adj./v.自己的
owner,n.持有者
ownership,n.所有權
ox,n.公牛
oxidation,n.氧化(作用)
oxygen,n.氧
oyster,n.牡蠣
pace,n./v.步；踱步
pack,n./v.包裹；捆
package,n./v.包；包裝
pact,n.協定；公約
page,n.頁
pain,n.疼痛
painful,adj.痛苦的
painfully,ad v.痛苦地
paint,n./v.油漆；顏料
painter,n.畫家
painting,n.圖畫
pair,n.一對
pajamas,n.睡衣褲
pal,n.夥伴
palace,n.宮殿
pale,adj.臉色蒼白的
palm,n.棕櫚；椰子
pan,n.平底鍋
panacea,n.萬靈藥
pancake,n.煎餅
panda,n.熊貓
pane,n.窗玻璃片
panel,n.板
panic,n./v.恐慌
panorama,n.全景
pants,n.褲子
papa,n.爸爸(非正式)
papaya,n.木瓜
paper,n.紙
parachute,n.降落傘
parade,n.遊行
paradise,n.天堂
paradoxically,adv.似是而非地
paragon,n.模範
paragraph,n.段落
paralyze,v.使麻痺；使癱瘓
paramount,adj./n.至上的；最高統治者
pardon,n./v.原諒
parent,n.父母
park,n.公園
park,v.停車
parking,n.停車
parlor,n.起居室；會客室
parrot,n.鸚鵡
part,n.一部分
partial,adj.局部的
partially,adv.部分地
participant,n.參與者；分享者
participate,v.參與
particular,adj.獨特的
partner,n.伙伴
partnership,n.合夥
part-time,adj./adv.兼任的
party,n.派對
pass,n./v.通行許可；經過
passage,n.通行
passenger,n.乘客
passerby,n.穿過；通過
passion,n.熱情
passionate,adj.熱情的
passive,adj.被動的
passport,n.護照
past,adj./prep.過去的
past,n.過去
paste,n.麵團
pasture,n.牧地；草原
pat,n.拍
path,n.小徑
pathetic,adj.悲哀的
patience,n.耐心
patient,adj.有耐心的
patient,n.病人
patiently,adv.耐心地
patriot,n.愛國者
patriotic,adj.愛國的
patron,n.贊助人
pattern,n.樣式
pause,n./v.暫停
pave(ment),v.(n.)鋪(用於被動)
pavement,n.人行道
paw,n.腳掌；腳爪
pawn,v.典當
pawnshop,n.當鋪
pay(ment),n/v.付錢
payday,n.發薪日
pea,n.豌豆
peace,n.和平
peaceful,adj.和平的
peach,n.桃子
peak,n.山頂
peanut,n.花生
pear,n.梨
pearl,n.珍珠
peasant,n.佃農
peculiar,adj.奇怪的
pedal,n.踏板
pedestrian,n.行人
peel,n./v.果皮；剝皮
peep,v./n.窺視；偷看
peer,n.同輩
pen,n.筆
penalty,n.處罰
pencil,n.鉛筆
penetrate,v.進入；看穿
penetrating,adj.敏銳的
penguin,n.企鵝
penicillin,n.盤尼西林
penis,n.男生殖器
penny,n.一分錢
pension,n.養老金
pentagon,n.五角形
people,n.人們
pepper,n.胡椒粉
per,prep.每
percent,n.百分之…
percentage,n.百分比
perch,n.棲木；高而安全的地位
perfect,adj.完美的
perfection,n.完備
perform,v.執行；演出
performance,n.成就；表演
performer,n.執行者；表演者
perfume,n.香味；香水
perhaps,adv.也許
peril,n.危險
period,n.一段時問
periodic,adj.定期的
periodical,n.期刊
perish,v.毀滅；死亡
permanent,adj.長久的
permission,n.准許
permit,n./v.許可
perpetual,adj.永久的
perplex,v.使困惑
perseverance,n.不屈不撓
persist,v.堅持
persistent,adj.堅持的
person,n.人
personal,adj.個人的
personality,n.個性
perspective,n.透視(畫)法
persuade,v.說服
persuasion,n.說服
persuasive,adj.有說服力的
pertain,v.有關
pessimism,n.悲觀(主義)
pest,n.害蟲
pesticide,n.殺蟲劑
pet,n./v.寵物；愛撫
petition,n.請願(書)
petroleum,n.石油
petty,adj.不重要的
pharmacy,n.藥房
phenomenon,n.現象
philharmonic,adj.愛樂(團體)的
philosopher,n.哲學家
philosophical,adj.哲學的
philosophy,n.哲學
phone,n./v.電話
photograph/photo,n.照片
photographer,n.攝影者
photographic,adj.攝影(用)的
photography,n.攝影術
phrase,n./v.片語；用語言表示
physical,adj.身體的
physicist,n.物理學家
physics,n.物理學
physiological,adj.生理學的
pianist,n.鋼琴家
piano,n.鋼琴
pick,n./v.十字鎬；挑選
picket,n.糾察隊員
pick-up,n.擴音器
picnic,n./v.野餐；去郊遊野餐
picture,n./v.圖畫；想像
picturesque,adj.似畫的
pie,n.派
piece,n./v.破片；拼合
piety,n.虔誠
pig,n.豬
pigeon,n.鵲子
pigment,n.顏料
pile,n./v.堆；疊
pilgrim,n.朝聖者
pilgrimage,n.朝聖者的旅程
pill,n.藥丸
pillar,n.柱子
pillow,n.枕頭
pilot,n./v.飛行員；駕駛
pimple,n.粉刺；面皰
pine,n.松樹
pineapple,n.鳳梨
ping-pong,n.乒乓球
pink,adj./n.粉紅色的
pint,n.品脫(液量名)
pioneer,n./v.拓荒者；開拓
pious,adj.虔誠的
pipe,n./v.管；用管道輸送
pipeline,n.管線
pirate,n.海盜
piston,n.活塞
pit,n.坑；煤礦
pitch,n.瀝青
pitcher,n.大水罐；投手
pity,n.可惜
pizza,n.比薩
place,n./v.地方；放置
plague,n./v.瘟疫；折磨
plain,adj.簡單的
plainly,adv.清楚地
plan,n./v.計劃
plane,n.飛機
planet,n.行星
planetary,adj.行星的
planning,n.計畫
plant,n./v.植物；種植
plantation,n.種植園
plaster,n.灰泥
plastic,adj./n.塑膠
plate,n.盤；碟
platform,n.月臺
Plato,n.柏拉圖(古希臘哲學家)
play,n./v.玩耍；玩
playground,n.操場
playmate,n.玩伴
playwright,n.劇作家
plea,n.懇求
pleasant,adj.令人愉快的
please,v.(使)高興
pleased,adj.高興的
pleasure,n.愉快
pledge,v.發誓；保證
plentiful,adj.豐富
plenty,n.大量
plot,n./v.情節；圖謀
plow,v.耕(地)
plug,n.塞子
plumber,n.管子工
plus,prep./n./adj.加
pneumonia,n.肺炎
pocket,n.口袋
poem,n.詩
poet,n.詩人
poetry,n.詩
point,n./v.尖端；持向
poison,n./v.毒藥
poisonous,adj.有毒的
pole,n.南極或北極
police,n.警察
policeman,n.警察
policy,n.政策
Polish,adj.波蘭的；波蘭人(語)的
polish,v.擦亮
polite,adj.有禮貌的
political,adj.政府的
politician,n.政治家
politics,n.政治活動
poll,n.民意調查
pollutant,n.污染物
pollute,v.污染
pollution,n.污染
polynomial,n.多詞學名；多項式
pond,n.池塘
ponder,v.深思
pony,n.小馬
pool,n.水塘
poor,adj.貧窮的
pop,n./v.砰然(聲)
popcorn,n.玉米花
popular,adj.流行的
popularity,n.流行
populate,v.移居於
population,n.人口
pork,n.豬肉
port,n.港
portable,adj.便攜的
porter,n.搬行李工人
portfolio,n.文件夾；投資組合
portion,n.一部分
portrait,n.肖畫像
portray,v.描繪
pose,n./v.姿勢
position,n.位置
positive,adj.確信的；積極的
possess,v.擁有
possibility,n.可能性
possible,adj.可能的
post,n.位置；郵局
post,v.貼出(佈告 v.通告)
postage,n.郵資
poster,n.海報
postman,n.郵差
postpone,v.延期
posture,n.姿勢
post-war,adj.戰後的
pot,n.罐；壺；盒
potato,n.馬鈴薯
potent,adj.有效力的
potential,adj./n.潛在的；僭能
potentiality,n.潛在性
potter,n./v.陶藝家；閒逛
pottery,n陶器
poultry,n.家禽(肉)
pound,n.磅
pound,v.搗碎
pour,v.灌 v.注 v.倒
poverty,n.貧窮
powder,n.粉末
power,n.權力
powerful,adj.強健的
practical,adj.實踐的
practice,n./v.練習；實踐
practitioner,n.開業者
praise,n./v.讚美；稱讚
praiseworthy,adj.值得讚揚的
pray,v.祈禱
prayer,n.祈禱
preacher,n.傳教士
precaution,n.預防措施
precedent,n.慣例
precious,adj.珍貴的
precise,adj.精確的
predecessor,n.前輩
predicament,n.困境
predict,v.預言
prediction,n.預言
preface,n.前言
prefer,v.寧願選擇
preferable,adj.更適合的
preferably,adv.更好地
preference,n.偏愛
pregnant,adj.懷孕的
prejudice,n.成見
preliminary,adj./n.初步的；初步行動
premature,adj.過早的
premier,n.首相
premise,n.前提
premium,n.保險費
preoccupation,n.全神貫注
preoccupy,v.使全神貫注
preparation,n.準備
prepare,v.準備
prescribe,v.開(樂方)
prescription,n.藥方
presence,n.出席
present,(1) adj.出席的
present,(2) n禮品
present,(3) v.贈送
presentation,n.表演
presently,adv.不久
preservation,n.保持
preserve,v.保存
preside,v.主持
presidency,n.總統(校長)的職位
president,n.總統；校長
presidential,adj.總統(校長)的
press,(2) v.按
pressure,n.壓；按
presumption,n.推測
pretend,v.假裝
pretty,(1) adj.漂亮的
pretty,(2) adv.頗；相當
prevent,v.預防
preventive,adj.預防的
preview,n.預習；預演
previous,adj.以前的
price,n./v.價格
pride,n./v.自豪
primary,adj.主要的
prime,adj.首先的
primitive,adj.遠古的
prince,n.王子
princess,n.公主
principal,(1) adj.主要的
principal,(2) n.校長
principally,adv.主要(地)
principle,n.原則
print,v./n.印刷；字體
printer,n.印刷業從業人員
priority,n.居先；優先(權)
prison,n.監獄
privacy,n.獨處(狀況)
private,adj.個人的
privately,adv.私下地
privilege,n.特權
prize,n./v.獎品；珍視
probable,adj.很可能的
probe,v.探查
problem,n.問題
procedure,n.程序
proceed,v.繼續進行
proceeding,n.措施
process,n./v.過程；加工
processing,n.過程
proclamation,n.公告
produce,v.生產
product,n.產品
production,n.生產；產量；產品
productive,adj.多產的
productivity,n.生產力
profess,v.自稱
profession,n.職業
professional,adj./n.專業的
professor,n.教授
proficient,adj.精通的
profile,n.側面像；輪廓
profit,n./v.利益；有益於
profitable,adj.有益的
program,n./v.程序；編製程序
progress,n./v.前進
progressive,adj.不斷前進的
prohibit,v.禁止
prohibition,n.禁止
project,(1) n.項目
project,(2) v.投擲；凸出
projection,n.凸出物；設計；投影
prominent,adj.突起的
promise,n./v.諾言；許諾
promising,adj.大有希望的
promote,v.提升
promotion,n.晉級
prompt,adj.促使
prone,adj.易於發生(不愉快事)的；有傾向的
pronoun,n.代名詞
pronounce,v.發音
proof,n.證據
proper,adj.適合的
property,n.財產
prophesy,v.預言
proposal,n.計劃；建議
propose,v.提議
prose,n.散文
prosecution,n.(被)起訴
prospect,n.期望
prosper,v.興旺
prosperity,n.發達
prosperous,adj.繁榮的
prostitute,n./v.妓女；出賣(名譽等)
protect,v.保護
protective,adj.保護的
protein,n.蛋白質
protest,n./v.抗議
proud,adj.白尊的
proudly,adv.驕傲地
prove,v.證明
proverb,n.諺語
provide,v.提供
provincial,adj.省的
provoke,v.激怒
prudent,adj.小心謹慎的
prune,v.修剪；刪除
psalm,n.聖歌
psychiatrist,n.精神科醫生
psychiatry,n.精神病學
psychological,adj.心理(上)的
psychologist,n.心理學家
psychology,n.心理學
pub,n.小酒館
public,adj./n.公眾的；大眾
publication,n.公布
publicity,n.眾人皆知
publish,v.出版
publisher,n.出版社(者)
pull,v.拖；拉
pulmonary,adj.肺(病)的
pulse,n.脈搏
pump,n.泵
pumpkin,n.南瓜
punctual,adj.如期的；準時的
punctuation,n.標點(法)
punish(ment),v.(n)處罰
pupil,n.小學生
PUPPY,n.小狗
purchase,n./v.購買
pure,adj.純淨的
purely,adv.完全地
purity,n.純潔
purple,adj./n.紫色的
purpose,n.意圖
purse,n.錢包
pursue,v.追捕
pursuit,n.追趕
put,v.安置
puzzle,n./v.難題；困惑
pyjamas,n.睡衣褲
quaint,adj.奇特的
quake,v.震動
qualify,v.使具有資格
quality,n.質量
quantity,n.數量
quarrel,n./v.爭吵
quarrelsome,adj.好爭吵的
quarter,n.四分之一
queen,n.王后
queer,adj.奇怪的
quest,n.探索
question,n./v.問題；詢問
questionnaire,n.問卷
queue,n./v.行列；排隊
quick,adj./adv.快速的/地
quiet,adj./v.安靜的；使安靜
quit,v.停止
quite,adv.完全；非常
quiz,n.問答比賽
quotation,n.引語
quote,v.引用
rabbit,n.兔
race,n.比賽
racial,adj.種族的
rack,n.置物架
radar,n.雷達
radiate,v.發射
radio,n.收音機
rag,n.破布
rage,n./v.發怒
raid,n.突擊
railroad,n.鐵路
railway,n.鐵路
rain,n./v.雨
rainbow,n.彩虹
raincoat,n.雨衣
rainfall,n.降雨
rainy,adj.多雨的
raise,v./n.舉起；上漲
rally,v./n.集合；開玩笑
rancher,n.農場主人
range,n.區域
rank,n./v.等級；並排
ransom,n.贖金
rape,v.強姦
rapid,adj.快的
rare,adj.珍貴的
rat,n.鼠
rate,n./v.比率；評估
rather,adv.與其不如
ratify,v.批准
rational,adj.理性的
raw,adj.生的
ray,n.光線
razor,n.舌」鬍刀
reach,n./v.抵達
react,v.反應
reaction,n.反應
reactionary,adj.保守的；反動的
read,v.讀
readiness,n.準備就緒；迅速
ready,adj.有準備的
real,adj.真的
realistic,adj.理論的
reality,n.真實性
realize,v.了解
reason,n.理由
reasonable,adj.有理由的；合理的
reassure,v.使安心
rebel,n.反抗者
rebel,v.謀反
rebellion,n造反
rebellious,adj.難管教的
rebuild,v.重建
recall,v.想出
recapture,v.再體驗
receipt,n.收到；收據
receive,v.收到
receiver,n.接受者；受話器
recent,adj.最近的
reception,n.接收
recession,n.經濟衰退
recipient,n.接受者
reckless,adj.輕率的
reckon,v.推斷
recognition,n.承認
recognize,v.承認
recollect,v.想起
reconcile,v.調解
reconstruction,n.重建(物)
record,(1) n.記錄
record,(2) v.記錄
recorder,n.記錄者
recover,v.恢復
recovery,n.復原
recruit,v.招募
recycle,v.使再循環；使回收使用
red,adj./n.紅色的
reduce,v.減少
redundant,adj.過剩的
reel,n./v.捲軸；捲；蹣跚
refer,v.起因於…
reference,n.委託
referendum,n.公民投票
refine,v.提煉
refinement,n.精製品
reflect,v.反射
reflection,n.反映
reform,v.改革
refrain,v.抑制
refresh,v.使給予活力
refreshment,n.精神恢復
refrigerator,n.冰箱
refugee,n.難民
refund,n.退款
refusal,n.拒絕
refuse,v.拒絕
regain,v.取回
regard,n./v.注目；注意
regarding,prep.關於…
regiment,n.(軍)團
region,n.地區
regional,adj.地區的
register,n./v.記錄；登記
registration,n.記錄
regret,n./v.哀傷；遺憾
regular,adj.整齊的；規律的
regulate,v.限制；控管
regulation,n.管理；限制
rehabilitate,v.使恢復
rehabilitation,n.康復
rehearsal,n.排練；複述
rehearse,v.詳述；排演
reign,n.君主統治時期
rein,n.韁繩；統治
reject,v.拒絕；否認
rejoice,v.高興
relate,v.敘述
relationship,n.(親戚)關係
relative,(1) adj.比較上的
relative,(2) n.親戚
relatively,adv.相對地
relax,v.放鬆
release,n./v.解放
reliable,adj.可信賴的
relief,n.解除
relieve,v.減輕(痛苦)
religion,n.宗教
religious,adj.狂熱信仰的
relinquish,v.放棄
relish,n./v.美味；喜愛
reluctant,adj.不情願的；勉強的
reluctantly,adv.不願意地
rely,v.信賴
remain,v.殘留
remains,n.遺跡
remark,n./v.論述；評論
remarkable,adj.該注意的
remedy,n.治療
remember,v.記得
remind,v.使想起
reminiscence,n.回憶
reminiscent,adj.使人憶起…的
remote,adj.遠離的
remove,v.除去
renaissance,n.復興
renew,v.回復
renowned,adj.著名的
rent,n./v.地租；承租
reorganization,改組
repair,n./v.修理
repay,v.償還
repeat,v.重覆地說(做)
repel,v.擊退
repent,v.後悔
repetition,n.重覆
replacement),v.(n.)放回
replaceable,adj.可取代的
reply,n./v.答覆
report,n./v.報告；述說
reporter,n.報告者
represent,v.描寫
representation,n.象徵
representative,adj./n.象徵的；例子
repress,v.抑制
republic,n.共和國
republican,adj./n.共和國的；共和主義者
reputation,n.名聲
request,n./v.要求
require(ment),v.(n)需求
rescue,n./v.救助
research,n./v.研究
researcher,n.研究員
resemblance,n.相似
resemble,v.和…相似
resent,v.不滿
reservation,n.保留
reserve,v.預備
reservoir,n.蓄水池
reside,v.居住
resign,v.辭職
resignation,n.辭職；辭呈
resist,v.反抗
resistance,n.反抗
resolution,n.決心
resolve,v.決心；決定
resonance,n.共嗚
resort,v.前往
resort,n.度假地
resource,n.財產；資產
respect,n./v.尊敬
respectable,adj.可敬的
respectful,adj.尊重的
respective,adj.個別的
respond,v.回答
response,n.回答
responsibility,n.責任
responsible,adj.負責的
rest,n./v.休息
restaurant,n.餐廳
restoration,n.恢復
restore,v.歸還
restraint,n.克制
restrict,v.限制
restroom,n.廁所
result,n./v.結果；起因於…”
resultant,adj.做為…後果的
resume,v.重新開始
retail,n./adj./adv.零售；零售的(地)
retaliate,v.報復
retirement),v.(n)退休
retort,v./n.反駁
retreat,v.後退；撒退
retrieve,v.找回
return,n./v.回復；歸還
reunion,n.重新結合；聚會
reveal,v.揭露
revenge,n./v.報復
reverse,adj./n./v.相反的；反轉
review,v./n.再檢查；複習
revise,v.校正
revision,n.修正
revive,v.復活
revolution,n.革新
revolutionary,adj.革命(性)的
revolve,v.使旋轉
reward,n./v.報酬
rhetoric,n.修辭學
rhythm,n.節奏
rhythmic,adj.韻律的
rib,n.肋骨
ribbon,n.絲帶
rice,n.米
rich,adj.富有的
rid,n./v.解除；免談
riddle,n.謎題
ride,n./v.騎；騎乘
ridiculous,adj.可笑的
right,adj./adv./n.正確的
righteous,adj.正直的
rigorous,adj.嚴密的
ring,n./v.圈；圍住
riot,n.暴動
ripe,adj.成熟的
rise,n./v.上升；站起來
risk,n./v.危險
rite,n.儀式
ritual,n.(儀式的)活動
rival,n.對手
river,n.河流
roach,n.蟑鄉；大麻煙卷的煙蒂
road,n.路
roar,n./v.怒吼
roast,n.吐司
rob,v.搶劫
robe,n.長袍
robin,n.知更鳥
robot,n.機器人
rock,n.岩石
rocket,n.火箭
role,n.角色
roll,n./v.滾動
romance,n.羅曼蒂克
romantic,adj./n.羅曼蒂克的
roof,n.屋頂
room,n.房問
rooster,n.公雞
root,n.根
rope,n.繩子
rose,n.玫瑰
rot,v./n.腐敗；腐朽
rotation,n.旋轉
rotten,adj.腐敗的
rough,adj.不平的；粗魯的
roughly,adv.大體上
round,adj./n.圓的
route,n.路線
routine,adj./n.慣常的
row,n./v.爭吵
royal,adj.王室的
royalty,n.皇室成員
rub,v.摩擦
rubber,n.橡膠
rude,adj.不禮貌的
rug,n.小地毯
rugged,adj崎嶇的
ruin,n./v.毀滅
rule,n./v.規則
ruler,n.統治者
rumor,n.謠言
run,v.跑
runner,n.奔跑的人
rush,n./v.衝；急速前進
rust,n./v.銹；生銹
rusty,adj.的鐵釘
sack,n.大袋子
sad,adj.難過
saddle,n.馬鞍
safe,adj.安全的
safety,n.安全性
sail,n./v.船；坐船旅行
sailor,n.水手
sake,n.為二好處著想
salad,n.沙拉
salary,n.薪水
sale,n.出售；拍賣
salesman,n.銷售員
saloon,n.大轎車；酒館；交誼廳
salt,n.鹽
salute,v.行舉手禮
salvage,n./v.搶救
salvation,n.救星
same,adj./pron.同樣的
sample,n.樣品
sanction,n.批准
sand,n.沙
sandal,n.涼鞋
sandwich,n.三明治
sanitation,n.衛生設備
sarcastic,adj.諷刺的
Satan,n.魔鬼；撒旦
satellite,n.衛星
satire,n.諷刺文學
satisfaction,n.滿意
satisfactorily,ad二令人滿意地
satisfactory,adj.滿意的
satisfy,v.滿意
Saturday,n.星期六
sauce,n.醬料
sausage,n.香腸
savage,adj.兇猛的
save,v.拯救
saving(s),n.存款
saw,n.鋸
say,v.說
scale(s),n.標準
scan,v.細看；掃描
scandal,n.醜聞
scare,v.恐嚇
scared,adj.害怕的
scarf,n.領巾
scarlet,adj.鮮紅色的
scary,adj.可怕的
scatter,v.散開
scene,n.場景
scenery,n.風景
schedule,n./v.時間表
scholar,n.學者
scholastic,adj.學校的
school,n.學校
science,n.科學
scientific,adj.科學的
scientist,n.科學家
scissor(s),n.剪刀
scold,v.責備
score,n./v.刻痕；作訊號
scorn,n./v.輕蔑；鄙視
scout,n.偵察機
scrap,n.碎片
scrape,v.把…括除
scratch,v.抓(傷)
scream,n./v.尖叫聲；尖叫
screen,n.屏幕
script,n.原稿
scrutiny,n.細查
sculpture,n.雕塑(品)
sea,n.海洋
seal,(1) n.海豹；印章
seal,(2) v.密封
seam,n.接縫
search,v./n.搜尋
season,n.季節
seat,n./v.座位；坐下
Second,adj./n.第 v.的；秒
secondary,adj.次要的
secret,adj./n.祕密的
secretary,n.秘書
section,n.地域
secular,adj.世俗的
secure,adj.安全的
security,n.安全
seduce,v.慫恿；引誘
seek,v.尋覓
seem,v.似乎
seemingly,adv.看樣子
segregate,v.隔離開
seize,v.扣押
seldom,adv.很少；不常
select,v.挑選
selection,n.選擇
self,pron.本身
selfish,adj.自私的
sell,v.賣
semester,n.一學期
seminar,n.研討會
send,v.送
sensation,n.感覺
sense,n./v.感官；覺得
sensibility,n.判斷力
sensible,adj.明智的
